"mesh","xid","yid"
1,224,194
2,224,195
3,224,196
4,224,197
5,224,198
6,224,199
7,225,191
8,225,192
9,225,193
10,225,194
11,225,195
12,225,196
13,225,197
14,225,198
15,225,199
16,225,200
17,225,201
18,226,188
19,226,189
20,226,190
21,226,191
22,226,192
23,226,193
24,226,194
25,226,195
26,226,196
27,226,197
28,226,198
29,226,199
30,226,200
31,226,201
32,226,202
33,227,188
34,227,189
35,227,190
36,227,191
37,227,192
38,227,193
39,227,194
40,227,195
41,227,196
42,227,197
43,227,198
44,227,199
45,227,200
46,227,201
47,227,202
48,227,203
49,227,204
50,228,188
51,228,189
52,228,190
53,228,191
54,228,192
55,228,193
56,228,194
57,228,195
58,228,196
59,228,197
60,228,198
61,228,199
62,228,200
63,228,201
64,228,202
65,228,203
66,228,204
67,228,205
68,229,185
69,229,186
70,229,187
71,229,188
72,229,189
73,229,190
74,229,191
75,229,192
76,229,193
77,229,194
78,229,195
79,229,196
80,229,197
81,229,198
82,229,199
83,229,200
84,229,201
85,229,202
86,229,203
87,229,204
88,229,205
89,229,206
90,229,207
91,230,185
92,230,186
93,230,187
94,230,188
95,230,189
96,230,190
97,230,191
98,230,192
99,230,193
100,230,194
101,230,195
102,230,196
103,230,197
104,230,198
105,230,199
106,230,200
107,230,201
108,230,202
109,230,203
110,230,204
111,230,205
112,230,206
113,230,207
114,231,185
115,231,186
116,231,187
117,231,188
118,231,189
119,231,190
120,231,191
121,231,192
122,231,193
123,231,194
124,231,195
125,231,196
126,231,197
127,231,198
128,231,199
129,231,200
130,231,201
131,231,202
132,231,203
133,231,204
134,231,205
135,231,206
136,231,207
137,231,208
138,231,209
139,232,191
140,232,192
141,232,193
142,232,194
143,232,195
144,232,196
145,232,197
146,232,198
147,232,199
148,232,200
149,232,201
150,232,202
151,232,203
152,232,204
153,232,205
154,232,206
155,232,207
156,232,208
157,232,209
158,232,210
159,233,193
160,233,194
161,233,195
162,233,196
163,233,197
164,233,198
165,233,199
166,233,200
167,233,201
168,233,202
169,233,203
170,233,204
171,233,205
172,233,206
173,233,207
174,233,208
175,233,209
176,233,210
177,233,211
178,234,194
179,234,195
180,234,196
181,234,197
182,234,198
183,234,199
184,234,200
185,234,201
186,234,202
187,234,203
188,234,204
189,234,205
190,234,206
191,234,207
192,234,208
193,234,209
194,234,210
195,234,211
196,235,194
197,235,195
198,235,196
199,235,197
200,235,198
201,235,199
202,235,200
203,235,201
204,235,202
205,235,203
206,235,204
207,235,205
208,235,206
209,235,207
210,235,208
211,235,209
212,235,210
213,235,211
214,235,212
215,236,197
216,236,198
217,236,199
218,236,200
219,236,201
220,236,202
221,236,203
222,236,204
223,236,205
224,236,206
225,236,207
226,236,208
227,236,209
228,236,210
229,236,211
230,236,212
231,237,201
232,237,202
233,237,203
234,237,204
235,237,205
236,237,206
237,237,207
238,237,208
239,237,209
240,237,210
241,237,211
242,237,212
243,238,204
244,238,205
245,238,206
246,238,207
247,238,208
248,238,209
249,238,210
250,238,211
251,239,206
252,239,208
253,239,209
254,239,210
255,239,211
256,240,210
257,232,190
258,233,191
259,233,192
260,234,193
